,States,Regions,latitude,longitude,Dates,Month,Year,Usage
0,Punjab,NR,31.51997398,75.98000281,02/01/2019,Jan,2019,119.9
1,Haryana,NR,28.45000633,77.01999101,02/01/2019,Jan,2019,130.3
2,Rajasthan,NR,26.44999921,74.63998124,02/01/2019,Jan,2019,234.1
3,Delhi,NR,28.6699929,77.23000403,02/01/2019,Jan,2019,85.8
4,UP,NR,27.59998069,78.05000565,02/01/2019,Jan,2019,313.9
5,Uttarakhand,NR,30.32040895,78.05000565,02/01/2019,Jan,2019,40.7
6,HP,NR,31.10002545,77.16659704,02/01/2019,Jan,2019,30.0
7,J&K,NR,33.45,76.24,02/01/2019,Jan,2019,52.5
8,Chandigarh,NR,30.71999697,76.78000565,02/01/2019,Jan,2019,5.0
9,Chhattisgarh,WR,22.09042035,82.15998734,02/01/2019,Jan,2019,78.7
10,Gujarat,WR,22.2587,71.1924,02/01/2019,Jan,2019,319.5
11,MP,WR,21.30039105,76.13001949,02/01/2019,Jan,2019,253.0
12,Maharashtra,WR,19.25023195,73.16017493,02/01/2019,Jan,2019,428.6
13,Goa,WR,15.491997,73.81800065,02/01/2019,Jan,2019,12.8
14,DNH,WR,20.26657819,73.01661779999998,02/01/2019,Jan,2019,18.6
15,Andhra Pradesh,SR,14.7504291,78.57002559,02/01/2019,Jan,2019,164.6
16,Telangana,SR,18.1124,79.0193,02/01/2019,Jan,2019,204.2
17,Karnataka,SR,12.57038129,76.91999711,02/01/2019,Jan,2019,206.3
18,Kerala,SR,8.900372741,76.56999263,02/01/2019,Jan,2019,72.7
19,Tamil Nadu,SR,12.92038576,79.15004187,02/01/2019,Jan,2019,268.3
20,Pondy,SR,11.93499371,79.83000037,02/01/2019,Jan,2019,6.3
21,Bihar,ER,25.78541445,87.4799727,02/01/2019,Jan,2019,82.3
22,Jharkhand,ER,23.80039349,86.41998572,02/01/2019,Jan,2019,24.8
23,Odisha,ER,19.82042971,85.90001746,02/01/2019,Jan,2019,70.2
24,West Bengal,ER,22.58039044,88.32994665,02/01/2019,Jan,2019,108.2
25,Sikkim,ER,27.3333303,88.6166475,02/01/2019,Jan,2019,2.0
26,Arunachal Pradesh,NER,27.10039878,93.61660071,02/01/2019,Jan,2019,2.1
27,Assam,NER,26.7499809,94.21666744,02/01/2019,Jan,2019,21.7
28,Manipur,NER,24.79997072,93.95001705,02/01/2019,Jan,2019,2.7
29,Meghalaya,NER,25.57049217,91.8800142,02/01/2019,Jan,2019,6.1
30,Mizoram,NER,23.71039899,92.72001461,02/01/2019,Jan,2019,1.9
31,Nagaland,NER,25.6669979,94.11657019,02/01/2019,Jan,2019,2.2
32,Tripura,NER,23.83540428,91.27999914,02/01/2019,Jan,2019,3.4
33,Punjab,NR,31.51997398,75.98000281,03/01/2019,Jan,2019,121.9
34,Haryana,NR,28.45000633,77.01999101,03/01/2019,Jan,2019,133.5
35,Rajasthan,NR,26.44999921,74.63998124,03/01/2019,Jan,2019,240.2
36,Delhi,NR,28.6699929,77.23000403,03/01/2019,Jan,2019,85.5
37,UP,NR,27.59998069,78.05000565,03/01/2019,Jan,2019,311.8
38,Uttarakhand,NR,30.32040895,78.05000565,03/01/2019,Jan,2019,39.3
39,HP,NR,31.10002545,77.16659704,03/01/2019,Jan,2019,30.1
40,J&K,NR,33.45,76.24,03/01/2019,Jan,2019,54.1
41,Chandigarh,NR,30.71999697,76.78000565,03/01/2019,Jan,2019,4.9
42,Chhattisgarh,WR,22.09042035,82.15998734,03/01/2019,Jan,2019,78.8
43,Gujarat,WR,22.2587,71.1924,03/01/2019,Jan,2019,316.7
44,MP,WR,21.30039105,76.13001949,03/01/2019,Jan,2019,253.6
45,Maharashtra,WR,19.25023195,73.16017493,03/01/2019,Jan,2019,419.6
46,Goa,WR,15.491997,73.81800065,03/01/2019,Jan,2019,13.7
47,DNH,WR,20.26657819,73.01661779999998,03/01/2019,Jan,2019,18.2
48,Andhra Pradesh,SR,14.7504291,78.57002559,03/01/2019,Jan,2019,170.1
49,Telangana,SR,18.1124,79.0193,03/01/2019,Jan,2019,204.5
50,Karnataka,SR,12.57038129,76.91999711,03/01/2019,Jan,2019,212.2
51,Kerala,SR,8.900372741,76.56999263,03/01/2019,Jan,2019,73.6
52,Tamil Nadu,SR,12.92038576,79.15004187,03/01/2019,Jan,2019,285.2
53,Pondy,SR,11.93499371,79.83000037,03/01/2019,Jan,2019,6.5
54,Bihar,ER,25.78541445,87.4799727,03/01/2019,Jan,2019,82.0
55,Jharkhand,ER,23.80039349,86.41998572,03/01/2019,Jan,2019,25.6
56,Odisha,ER,19.82042971,85.90001746,03/01/2019,Jan,2019,67.9
57,West Bengal,ER,22.58039044,88.32994665,03/01/2019,Jan,2019,110.2
58,Sikkim,ER,27.3333303,88.6166475,03/01/2019,Jan,2019,1.9
59,Arunachal Pradesh,NER,27.10039878,93.61660071,03/01/2019,Jan,2019,2.2
60,Assam,NER,26.7499809,94.21666744,03/01/2019,Jan,2019,23.4
61,Manipur,NER,24.79997072,93.95001705,03/01/2019,Jan,2019,2.4
62,Meghalaya,NER,25.57049217,91.8800142,03/01/2019,Jan,2019,6.5
63,Mizoram,NER,23.71039899,92.72001461,03/01/2019,Jan,2019,1.8
64,Nagaland,NER,25.6669979,94.11657019,03/01/2019,Jan,2019,2.2
65,Tripura,NER,23.83540428,91.27999914,03/01/2019,Jan,2019,3.6
66,Punjab,NR,31.51997398,75.98000281,04/01/2019,Jan,2019,118.8
67,Haryana,NR,28.45000633,77.01999101,04/01/2019,Jan,2019,128.2
68,Rajasthan,NR,26.44999921,74.63998124,04/01/2019,Jan,2019,239.8
69,Delhi,NR,28.6699929,77.23000403,04/01/2019,Jan,2019,83.5
70,UP,NR,27.59998069,78.05000565,04/01/2019,Jan,2019,320.7
71,Uttarakhand,NR,30.32040895,78.05000565,04/01/2019,Jan,2019,38.1
72,HP,NR,31.10002545,77.16659704,04/01/2019,Jan,2019,30.1
73,J&K,NR,33.45,76.24,04/01/2019,Jan,2019,53.2
74,Chandigarh,NR,30.71999697,76.78000565,04/01/2019,Jan,2019,4.8
75,Chhattisgarh,WR,22.09042035,82.15998734,04/01/2019,Jan,2019,74.8
76,Gujarat,WR,22.2587,71.1924,04/01/2019,Jan,2019,301.9
77,MP,WR,21.30039105,76.13001949,04/01/2019,Jan,2019,239.3
78,Maharashtra,WR,19.25023195,73.16017493,04/01/2019,Jan,2019,395.8
79,Goa,WR,15.491997,73.81800065,04/01/2019,Jan,2019,12.6
80,DNH,WR,20.26657819,73.01661779999998,04/01/2019,Jan,2019,16.7
81,Andhra Pradesh,SR,14.7504291,78.57002559,04/01/2019,Jan,2019,165.2
82,Telangana,SR,18.1124,79.0193,04/01/2019,Jan,2019,201.2
83,Karnataka,SR,12.57038129,76.91999711,04/01/2019,Jan,2019,205.3
84,Kerala,SR,8.900372741,76.56999263,04/01/2019,Jan,2019,73.4
85,Tamil Nadu,SR,12.92038576,79.15004187,04/01/2019,Jan,2019,270.3
86,Pondy,SR,11.93499371,79.83000037,04/01/2019,Jan,2019,6.4
87,Bihar,ER,25.78541445,87.4799727,04/01/2019,Jan,2019,82.9
88,Jharkhand,ER,23.80039349,86.41998572,04/01/2019,Jan,2019,26.3
89,Odisha,ER,19.82042971,85.90001746,04/01/2019,Jan,2019,66.3
90,West Bengal,ER,22.58039044,88.32994665,04/01/2019,Jan,2019,106.8
91,Sikkim,ER,27.3333303,88.6166475,04/01/2019,Jan,2019,1.7
92,Arunachal Pradesh,NER,27.10039878,93.61660071,04/01/2019,Jan,2019,2.2
93,Assam,NER,26.7499809,94.21666744,04/01/2019,Jan,2019,21.7
94,Manipur,NER,24.79997072,93.95001705,04/01/2019,Jan,2019,2.4
95,Meghalaya,NER,25.57049217,91.8800142,04/01/2019,Jan,2019,6.3
96,Mizoram,NER,23.71039899,92.72001461,04/01/2019,Jan,2019,1.7
97,Nagaland,NER,25.6669979,94.11657019,04/01/2019,Jan,2019,2.2
98,Tripura,NER,23.83540428,91.27999914,04/01/2019,Jan,2019,3.5
99,Punjab,NR,31.51997398,75.98000281,05/01/2019,Jan,2019,121.0
100,Haryana,NR,28.45000633,77.01999101,05/01/2019,Jan,2019,127.5
101,Rajasthan,NR,26.44999921,74.63998124,05/01/2019,Jan,2019,239.1
102,Delhi,NR,28.6699929,77.23000403,05/01/2019,Jan,2019,79.2
103,UP,NR,27.59998069,78.05000565,05/01/2019,Jan,2019,299.0
104,Uttarakhand,NR,30.32040895,78.05000565,05/01/2019,Jan,2019,39.2
105,HP,NR,31.10002545,77.16659704,05/01/2019,Jan,2019,30.2
106,J&K,NR,33.45,76.24,05/01/2019,Jan,2019,51.5
107,Chandigarh,NR,30.71999697,76.78000565,05/01/2019,Jan,2019,4.3
108,Chhattisgarh,WR,22.09042035,82.15998734,05/01/2019,Jan,2019,69.0
109,Gujarat,WR,22.2587,71.1924,05/01/2019,Jan,2019,313.2
110,MP,WR,21.30039105,76.13001949,05/01/2019,Jan,2019,228.2
111,Maharashtra,WR,19.25023195,73.16017493,05/01/2019,Jan,2019,411.1
112,Goa,WR,15.491997,73.81800065,05/01/2019,Jan,2019,13.0
113,DNH,WR,20.26657819,73.01661779999998,05/01/2019,Jan,2019,17.6
114,Andhra Pradesh,SR,14.7504291,78.57002559,05/01/2019,Jan,2019,167.4
115,Telangana,SR,18.1124,79.0193,05/01/2019,Jan,2019,201.7
116,Karnataka,SR,12.57038129,76.91999711,05/01/2019,Jan,2019,212.4
117,Kerala,SR,8.900372741,76.56999263,05/01/2019,Jan,2019,75.4
118,Tamil Nadu,SR,12.92038576,79.15004187,05/01/2019,Jan,2019,286.8
119,Pondy,SR,11.93499371,79.83000037,05/01/2019,Jan,2019,6.6
120,Bihar,ER,25.78541445,87.4799727,05/01/2019,Jan,2019,77.0
121,Jharkhand,ER,23.80039349,86.41998572,05/01/2019,Jan,2019,23.0
122,Odisha,ER,19.82042971,85.90001746,05/01/2019,Jan,2019,65.8
123,West Bengal,ER,22.58039044,88.32994665,05/01/2019,Jan,2019,107.0
124,Sikkim,ER,27.3333303,88.6166475,05/01/2019,Jan,2019,2.0
125,Arunachal Pradesh,NER,27.10039878,93.61660071,05/01/2019,Jan,2019,2.2
126,Assam,NER,26.7499809,94.21666744,05/01/2019,Jan,2019,22.5
127,Manipur,NER,24.79997072,93.95001705,05/01/2019,Jan,2019,2.7
128,Meghalaya,NER,25.57049217,91.8800142,05/01/2019,Jan,2019,5.7
129,Mizoram,NER,23.71039899,92.72001461,05/01/2019,Jan,2019,1.8
130,Nagaland,NER,25.6669979,94.11657019,05/01/2019,Jan,2019,2.3
131,Tripura,NER,23.83540428,91.27999914,05/01/2019,Jan,2019,3.5
132,Punjab,NR,31.51997398,75.98000281,06/01/2019,Jan,2019,121.4
133,Haryana,NR,28.45000633,77.01999101,06/01/2019,Jan,2019,132.6
134,Rajasthan,NR,26.44999921,74.63998124,06/01/2019,Jan,2019,240.4
135,Delhi,NR,28.6699929,77.23000403,06/01/2019,Jan,2019,76.6
136,UP,NR,27.59998069,78.05000565,06/01/2019,Jan,2019,286.8
137,Uttarakhand,NR,30.32040895,78.05000565,06/01/2019,Jan,2019,39.2
138,HP,NR,31.10002545,77.16659704,06/01/2019,Jan,2019,31.0
139,J&K,NR,33.45,76.24,06/01/2019,Jan,2019,53.2
140,Chandigarh,NR,30.71999697,76.78000565,06/01/2019,Jan,2019,4.3
141,Chhattisgarh,WR,22.09042035,82.15998734,06/01/2019,Jan,2019,68.1
142,Gujarat,WR,22.2587,71.1924,06/01/2019,Jan,2019,320.7
143,MP,WR,21.30039105,76.13001949,06/01/2019,Jan,2019,227.4
144,Maharashtra,WR,19.25023195,73.16017493,06/01/2019,Jan,2019,408.6
145,Goa,WR,15.491997,73.81800065,06/01/2019,Jan,2019,12.9
146,DNH,WR,20.26657819,73.01661779999998,06/01/2019,Jan,2019,18.6
147,Andhra Pradesh,SR,14.7504291,78.57002559,06/01/2019,Jan,2019,171.2
148,Telangana,SR,18.1124,79.0193,06/01/2019,Jan,2019,194.9
149,Karnataka,SR,12.57038129,76.91999711,06/01/2019,Jan,2019,217.5
150,Kerala,SR,8.900372741,76.56999263,06/01/2019,Jan,2019,75.4
151,Tamil Nadu,SR,12.92038576,79.15004187,06/01/2019,Jan,2019,298.3
152,Pondy,SR,11.93499371,79.83000037,06/01/2019,Jan,2019,7.2
153,Bihar,ER,25.78541445,87.4799727,06/01/2019,Jan,2019,76.4
154,Jharkhand,ER,23.80039349,86.41998572,06/01/2019,Jan,2019,22.6
155,Odisha,ER,19.82042971,85.90001746,06/01/2019,Jan,2019,62.9
156,West Bengal,ER,22.58039044,88.32994665,06/01/2019,Jan,2019,106.4
157,Sikkim,ER,27.3333303,88.6166475,06/01/2019,Jan,2019,2.0
158,Arunachal Pradesh,NER,27.10039878,93.61660071,06/01/2019,Jan,2019,2.2
159,Assam,NER,26.7499809,94.21666744,06/01/2019,Jan,2019,21.7
160,Manipur,NER,24.79997072,93.95001705,06/01/2019,Jan,2019,2.7
161,Meghalaya,NER,25.57049217,91.8800142,06/01/2019,Jan,2019,6.2
162,Mizoram,NER,23.71039899,92.72001461,06/01/2019,Jan,2019,1.9
163,Nagaland,NER,25.6669979,94.11657019,06/01/2019,Jan,2019,2.3
164,Tripura,NER,23.83540428,91.27999914,06/01/2019,Jan,2019,3.3
165,Punjab,NR,31.51997398,75.98000281,07/01/2019,Jan,2019,118.0
166,Haryana,NR,28.45000633,77.01999101,07/01/2019,Jan,2019,132.1
167,Rajasthan,NR,26.44999921,74.63998124,07/01/2019,Jan,2019,241.9
168,Delhi,NR,28.6699929,77.23000403,07/01/2019,Jan,2019,71.1
169,UP,NR,27.59998069,78.05000565,07/01/2019,Jan,2019,294.2
170,Uttarakhand,NR,30.32040895,78.05000565,07/01/2019,Jan,2019,40.1
171,HP,NR,31.10002545,77.16659704,07/01/2019,Jan,2019,30.1
172,J&K,NR,33.45,76.24,07/01/2019,Jan,2019,53.3
173,Chandigarh,NR,30.71999697,76.78000565,07/01/2019,Jan,2019,4.0
174,Chhattisgarh,WR,22.09042035,82.15998734,07/01/2019,Jan,2019,73.1
175,Gujarat,WR,22.2587,71.1924,07/01/2019,Jan,2019,319.4
176,MP,WR,21.30039105,76.13001949,07/01/2019,Jan,2019,230.3
177,Maharashtra,WR,19.25023195,73.16017493,07/01/2019,Jan,2019,408.1
178,Goa,WR,15.491997,73.81800065,07/01/2019,Jan,2019,12.7
179,DNH,WR,20.26657819,73.01661779999998,07/01/2019,Jan,2019,18.3
180,Andhra Pradesh,SR,14.7504291,78.57002559,07/01/2019,Jan,2019,166.4
181,Telangana,SR,18.1124,79.0193,07/01/2019,Jan,2019,191.9
182,Karnataka,SR,12.57038129,76.91999711,07/01/2019,Jan,2019,217.4
183,Kerala,SR,8.900372741,76.56999263,07/01/2019,Jan,2019,74.9
184,Tamil Nadu,SR,12.92038576,79.15004187,07/01/2019,Jan,2019,294.2
185,Pondy,SR,11.93499371,79.83000037,07/01/2019,Jan,2019,7.0
186,Bihar,ER,25.78541445,87.4799727,07/01/2019,Jan,2019,75.3
187,Jharkhand,ER,23.80039349,86.41998572,07/01/2019,Jan,2019,23.9
188,Odisha,ER,19.82042971,85.90001746,07/01/2019,Jan,2019,64.0
189,West Bengal,ER,22.58039044,88.32994665,07/01/2019,Jan,2019,109.3
190,Sikkim,ER,27.3333303,88.6166475,07/01/2019,Jan,2019,1.5
191,Arunachal Pradesh,NER,27.10039878,93.61660071,07/01/2019,Jan,2019,2.2
192,Assam,NER,26.7499809,94.21666744,07/01/2019,Jan,2019,21.4
193,Manipur,NER,24.79997072,93.95001705,07/01/2019,Jan,2019,2.5
194,Meghalaya,NER,25.57049217,91.8800142,07/01/2019,Jan,2019,6.1
195,Mizoram,NER,23.71039899,92.72001461,07/01/2019,Jan,2019,1.8
196,Nagaland,NER,25.6669979,94.11657019,07/01/2019,Jan,2019,2.3
197,Tripura,NER,23.83540428,91.27999914,07/01/2019,Jan,2019,3.3
198,Punjab,NR,31.51997398,75.98000281,08/01/2019,Jan,2019,107.5
199,Haryana,NR,28.45000633,77.01999101,08/01/2019,Jan,2019,121.4
200,Rajasthan,NR,26.44999921,74.63998124,08/01/2019,Jan,2019,237.2
201,Delhi,NR,28.6699929,77.23000403,08/01/2019,Jan,2019,69.0
202,UP,NR,27.59998069,78.05000565,08/01/2019,Jan,2019,289.4
203,Uttarakhand,NR,30.32040895,78.05000565,08/01/2019,Jan,2019,37.0
204,HP,NR,31.10002545,77.16659704,08/01/2019,Jan,2019,29.2
205,J&K,NR,33.45,76.24,08/01/2019,Jan,2019,51.2
206,Chandigarh,NR,30.71999697,76.78000565,08/01/2019,Jan,2019,3.8
207,Chhattisgarh,WR,22.09042035,82.15998734,08/01/2019,Jan,2019,74.2
208,Gujarat,WR,22.2587,71.1924,08/01/2019,Jan,2019,307.9
209,MP,WR,21.30039105,76.13001949,08/01/2019,Jan,2019,228.8
210,Maharashtra,WR,19.25023195,73.16017493,08/01/2019,Jan,2019,398.2
211,Goa,WR,15.491997,73.81800065,08/01/2019,Jan,2019,10.9
212,DNH,WR,20.26657819,73.01661779999998,08/01/2019,Jan,2019,18.1
213,Andhra Pradesh,SR,14.7504291,78.57002559,08/01/2019,Jan,2019,160.8
214,Telangana,SR,18.1124,79.0193,08/01/2019,Jan,2019,190.8
215,Karnataka,SR,12.57038129,76.91999711,08/01/2019,Jan,2019,201.0
216,Kerala,SR,8.900372741,76.56999263,08/01/2019,Jan,2019,68.2
217,Tamil Nadu,SR,12.92038576,79.15004187,08/01/2019,Jan,2019,279.2
218,Pondy,SR,11.93499371,79.83000037,08/01/2019,Jan,2019,6.5
219,Bihar,ER,25.78541445,87.4799727,08/01/2019,Jan,2019,76.2
220,Jharkhand,ER,23.80039349,86.41998572,08/01/2019,Jan,2019,23.3
221,Odisha,ER,19.82042971,85.90001746,08/01/2019,Jan,2019,63.6
222,West Bengal,ER,22.58039044,88.32994665,08/01/2019,Jan,2019,102.9
223,Sikkim,ER,27.3333303,88.6166475,08/01/2019,Jan,2019,1.6
224,Arunachal Pradesh,NER,27.10039878,93.61660071,08/01/2019,Jan,2019,2.3
225,Assam,NER,26.7499809,94.21666744,08/01/2019,Jan,2019,20.7
226,Manipur,NER,24.79997072,93.95001705,08/01/2019,Jan,2019,2.6
227,Meghalaya,NER,25.57049217,91.8800142,08/01/2019,Jan,2019,6.2
228,Mizoram,NER,23.71039899,92.72001461,08/01/2019,Jan,2019,1.8
229,Nagaland,NER,25.6669979,94.11657019,08/01/2019,Jan,2019,2.1
230,Tripura,NER,23.83540428,91.27999914,08/01/2019,Jan,2019,3.3
231,Punjab,NR,31.51997398,75.98000281,09/01/2019,Jan,2019,132.5
232,Haryana,NR,28.45000633,77.01999101,09/01/2019,Jan,2019,148.2
233,Rajasthan,NR,26.44999921,74.63998124,09/01/2019,Jan,2019,197.0
234,Delhi,NR,28.6699929,77.23000403,09/01/2019,Jan,2019,89.2
235,UP,NR,27.59998069,78.05000565,09/01/2019,Jan,2019,258.6
236,Uttarakhand,NR,30.32040895,78.05000565,09/01/2019,Jan,2019,35.9
237,HP,NR,31.10002545,77.16659704,09/01/2019,Jan,2019,25.3
238,J&K,NR,33.45,76.24,09/01/2019,Jan,2019,37.9
239,Chandigarh,NR,30.71999697,76.78000565,09/01/2019,Jan,2019,3.9
240,Chhattisgarh,WR,22.09042035,82.15998734,09/01/2019,Jan,2019,77.2
241,Gujarat,WR,22.2587,71.1924,09/01/2019,Jan,2019,260.0
242,MP,WR,21.30039105,76.13001949,09/01/2019,Jan,2019,162.5
243,Maharashtra,WR,19.25023195,73.16017493,09/01/2019,Jan,2019,400.9
244,Goa,WR,15.491997,73.81800065,09/01/2019,Jan,2019,12.1
245,DNH,WR,20.26657819,73.01661779999998,09/01/2019,Jan,2019,18.0
246,Andhra Pradesh,SR,14.7504291,78.57002559,09/01/2019,Jan,2019,163.0
247,Telangana,SR,18.1124,79.0193,09/01/2019,Jan,2019,167.5
248,Karnataka,SR,12.57038129,76.91999711,09/01/2019,Jan,2019,173.6
249,Kerala,SR,8.900372741,76.56999263,09/01/2019,Jan,2019,67.9
250,Tamil Nadu,SR,12.92038576,79.15004187,09/01/2019,Jan,2019,280.4
251,Pondy,SR,11.93499371,79.83000037,09/01/2019,Jan,2019,7.6
252,Bihar,ER,25.78541445,87.4799727,09/01/2019,Jan,2019,56.4
253,Jharkhand,ER,23.80039349,86.41998572,09/01/2019,Jan,2019,19.2
254,Odisha,ER,19.82042971,85.90001746,09/01/2019,Jan,2019,86.6
255,West Bengal,ER,22.58039044,88.32994665,09/01/2019,Jan,2019,131.7
256,Sikkim,ER,27.3333303,88.6166475,09/01/2019,Jan,2019,1.1
257,Arunachal Pradesh,NER,27.10039878,93.61660071,09/01/2019,Jan,2019,2.1
258,Assam,NER,26.7499809,94.21666744,09/01/2019,Jan,2019,25.8
259,Manipur,NER,24.79997072,93.95001705,09/01/2019,Jan,2019,2.3
260,Meghalaya,NER,25.57049217,91.8800142,09/01/2019,Jan,2019,6.0
261,Mizoram,NER,23.71039899,92.72001461,09/01/2019,Jan,2019,1.7
262,Nagaland,NER,25.6669979,94.11657019,09/01/2019,Jan,2019,2.4
263,Tripura,NER,23.83540428,91.27999914,09/01/2019,Jan,2019,4.2
264,Punjab,NR,31.51997398,75.98000281,10/01/2019,Jan,2019,131.5
265,Haryana,NR,28.45000633,77.01999101,10/01/2019,Jan,2019,157.0
266,Rajasthan,NR,26.44999921,74.63998124,10/01/2019,Jan,2019,199.9
267,Delhi,NR,28.6699929,77.23000403,10/01/2019,Jan,2019,92.8
268,UP,NR,27.59998069,78.05000565,10/01/2019,Jan,2019,284.2
269,Uttarakhand,NR,30.32040895,78.05000565,10/01/2019,Jan,2019,35.3
270,HP,NR,31.10002545,77.16659704,10/01/2019,Jan,2019,26.5
271,J&K,NR,33.45,76.24,10/01/2019,Jan,2019,31.7
272,Chandigarh,NR,30.71999697,76.78000565,10/01/2019,Jan,2019,3.9
273,Chhattisgarh,WR,22.09042035,82.15998734,10/01/2019,Jan,2019,79.0
274,Gujarat,WR,22.2587,71.1924,10/01/2019,Jan,2019,268.3
275,MP,WR,21.30039105,76.13001949,10/01/2019,Jan,2019,159.6
276,Maharashtra,WR,19.25023195,73.16017493,10/01/2019,Jan,2019,409.7
277,Goa,WR,15.491997,73.81800065,10/01/2019,Jan,2019,12.1
278,DNH,WR,20.26657819,73.01661779999998,10/01/2019,Jan,2019,17.8
279,Andhra Pradesh,SR,14.7504291,78.57002559,10/01/2019,Jan,2019,168.8
280,Telangana,SR,18.1124,79.0193,10/01/2019,Jan,2019,173.4
281,Karnataka,SR,12.57038129,76.91999711,10/01/2019,Jan,2019,176.0
282,Kerala,SR,8.900372741,76.56999263,10/01/2019,Jan,2019,68.9
283,Tamil Nadu,SR,12.92038576,79.15004187,10/01/2019,Jan,2019,290.8
284,Pondy,SR,11.93499371,79.83000037,10/01/2019,Jan,2019,7.9
285,Bihar,ER,25.78541445,87.4799727,10/01/2019,Jan,2019,69.9
286,Jharkhand,ER,23.80039349,86.41998572,10/01/2019,Jan,2019,21.8
287,Odisha,ER,19.82042971,85.90001746,10/01/2019,Jan,2019,78.8
288,West Bengal,ER,22.58039044,88.32994665,10/01/2019,Jan,2019,140.1
289,Sikkim,ER,27.3333303,88.6166475,10/01/2019,Jan,2019,1.1
290,Arunachal Pradesh,NER,27.10039878,93.61660071,10/01/2019,Jan,2019,2.1
291,Assam,NER,26.7499809,94.21666744,10/01/2019,Jan,2019,25.8
292,Manipur,NER,24.79997072,93.95001705,10/01/2019,Jan,2019,2.4
293,Meghalaya,NER,25.57049217,91.8800142,10/01/2019,Jan,2019,6.2
294,Mizoram,NER,23.71039899,92.72001461,10/01/2019,Jan,2019,1.7
295,Nagaland,NER,25.6669979,94.11657019,10/01/2019,Jan,2019,2.1
296,Tripura,NER,23.83540428,91.27999914,10/01/2019,Jan,2019,4.3
297,Punjab,NR,31.51997398,75.98000281,11/01/2019,Jan,2019,130.3
298,Haryana,NR,28.45000633,77.01999101,11/01/2019,Jan,2019,145.3
299,Rajasthan,NR,26.44999921,74.63998124,11/01/2019,Jan,2019,187.7
300,Delhi,NR,28.6699929,77.23000403,11/01/2019,Jan,2019,79.5
301,UP,NR,27.59998069,78.05000565,11/01/2019,Jan,2019,281.4
302,Uttarakhand,NR,30.32040895,78.05000565,11/01/2019,Jan,2019,30.1
303,HP,NR,31.10002545,77.16659704,11/01/2019,Jan,2019,23.9
304,J&K,NR,33.45,76.24,11/01/2019,Jan,2019,37.3
305,Chandigarh,NR,30.71999697,76.78000565,11/01/2019,Jan,2019,3.4
306,Chhattisgarh,WR,22.09042035,82.15998734,11/01/2019,Jan,2019,80.7
307,Gujarat,WR,22.2587,71.1924,11/01/2019,Jan,2019,275.0
308,MP,WR,21.30039105,76.13001949,11/01/2019,Jan,2019,154.3
309,Maharashtra,WR,19.25023195,73.16017493,11/01/2019,Jan,2019,405.2
310,Goa,WR,15.491997,73.81800065,11/01/2019,Jan,2019,12.1
311,DNH,WR,20.26657819,73.01661779999998,11/01/2019,Jan,2019,16.9
312,Andhra Pradesh,SR,14.7504291,78.57002559,11/01/2019,Jan,2019,167.7
313,Telangana,SR,18.1124,79.0193,11/01/2019,Jan,2019,166.7
314,Karnataka,SR,12.57038129,76.91999711,11/01/2019,Jan,2019,157.0
315,Kerala,SR,8.900372741,76.56999263,11/01/2019,Jan,2019,67.4
316,Tamil Nadu,SR,12.92038576,79.15004187,11/01/2019,Jan,2019,270.5
317,Pondy,SR,11.93499371,79.83000037,11/01/2019,Jan,2019,7.1
318,Bihar,ER,25.78541445,87.4799727,11/01/2019,Jan,2019,76.2
319,Jharkhand,ER,23.80039349,86.41998572,11/01/2019,Jan,2019,23.3
320,Odisha,ER,19.82042971,85.90001746,11/01/2019,Jan,2019,78.4
321,West Bengal,ER,22.58039044,88.32994665,11/01/2019,Jan,2019,149.8
322,Sikkim,ER,27.3333303,88.6166475,11/01/2019,Jan,2019,0.8
323,Arunachal Pradesh,NER,27.10039878,93.61660071,11/01/2019,Jan,2019,2.1
324,Assam,NER,26.7499809,94.21666744,11/01/2019,Jan,2019,27.9
325,Manipur,NER,24.79997072,93.95001705,11/01/2019,Jan,2019,2.4
326,Meghalaya,NER,25.57049217,91.8800142,11/01/2019,Jan,2019,6.2
327,Mizoram,NER,23.71039899,92.72001461,11/01/2019,Jan,2019,1.8
328,Nagaland,NER,25.6669979,94.11657019,11/01/2019,Jan,2019,2.1
329,Tripura,NER,23.83540428,91.27999914,11/01/2019,Jan,2019,4.3
330,Punjab,NR,31.51997398,75.98000281,12/01/2019,Jan,2019,137.9
331,Haryana,NR,28.45000633,77.01999101,12/01/2019,Jan,2019,151.9
332,Rajasthan,NR,26.44999921,74.63998124,12/01/2019,Jan,2019,189.9
333,Delhi,NR,28.6699929,77.23000403,12/01/2019,Jan,2019,92.6
334,UP,NR,27.59998069,78.05000565,12/01/2019,Jan,2019,298.6
335,Uttarakhand,NR,30.32040895,78.05000565,12/01/2019,Jan,2019,34.7
336,HP,NR,31.10002545,77.16659704,12/01/2019,Jan,2019,26.4
337,J&K,NR,33.45,76.24,12/01/2019,Jan,2019,34.6
338,Chandigarh,NR,30.71999697,76.78000565,12/01/2019,Jan,2019,4.0
339,Chhattisgarh,WR,22.09042035,82.15998734,12/01/2019,Jan,2019,85.2
340,Gujarat,WR,22.2587,71.1924,12/01/2019,Jan,2019,294.1
341,MP,WR,21.30039105,76.13001949,12/01/2019,Jan,2019,161.1
342,Maharashtra,WR,19.25023195,73.16017493,12/01/2019,Jan,2019,421.8
343,Goa,WR,15.491997,73.81800065,12/01/2019,Jan,2019,12.2
